Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|ReportField=Currency~USD|ReportField=ProductionQuantity~44|ReportField=ProjectFileName~peggy-optical-board.PrjPcb|ReportField=ProjectFullPath~C:\Users\matthewpang\Documents\GitHub\orthobox-hardware\peggy-optical-board\peggy-optical-board.PrjPcb|ReportField=Title~Bill of Materials For Project [peggy-optical-board.PrjPcb] (PCB Document : peggy-optical-board.PcbDoc)|ReportField=TotalQuantity~10|ReportField=ReportTime~2:31:37 PM|ReportField=ReportDate~8/23/2016|ReportField=ReportDateTime~8/23/2016 2:31:37 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~8/23/2016|ReportField=CurrentTime~2:31:14 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\matthewpang\Documents\GitHub\orthobox-hardware\peggy-optical-board\peggy-optical-board.SchDoc|ReportField=DocumentName~peggy-optical-board.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~8/6/2016|ReportField=Organization~|ReportField=ProjectName~peggy-optical-board.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~peggy-optical-board.PrjPcb|ReportField=DataSourceFullPath~C:\Users\matthewpang\Documents\GitHub\orthobox-hardware\peggy-optical-board\peggy-optical-board.PrjPcb|ReportField=PCBDataSourceFileName~peggy-optical-board.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\matthewpang\Documents\GitHub\orthobox-hardware\peggy-optical-board\peggy-optical-board.PcbDoc
1|5034800600|CONN FFC FPC 6POS 0.50MM R/A|J1|MOLEX 503480-0600|5034800600|1|Molex, LLC|5034800600|Digi-Key|USD|44|WM1387CT-ND|12225|29.568|0.672
2|OPB606A|SENSR OPTO TRANS 1.27MM REFL PCB|Q1, Q2, Q3|OPB606A|OPB606A|3|TT Electronics/Optek Technology|OPB606A|Digi-Key|USD|132|365-1088-ND|7514|143.88|1.09
3|180R|RES SMD 180 OHM 1% 1/8W 0805|R1, R2, R3|RESC2012X07N_SAMSUNG|RC2012F181CS|3|Samsung Electro-Mechanics America, Inc.|RC2012F181CS|Digi-Key|USD|132|1276-5232-1-ND|5220|1.2012|0.0091
4|4.99K|RES SMD 4.99K OHM 1% 1/8W 0805|R4, R5, R6|RESC2012X07N_SAMSUNG|RC2012F4991CS|3|Samsung Electro-Mechanics America, Inc.|RC2012F4991CS|Digi-Key|USD|132|1276-5310-1-ND|38876|1.2012|0.0091
